AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY,SPY
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.05941009521484,135480400,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,304.1135559082031,59151200
74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.34912872314453,146322800,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,301.8106689453125,77709700
73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.92562866210938,118387200,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,302.962158203125,55653900
74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.5826644897461,108872000,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,302.11029052734375,40496400
74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.75025177001953,132079200,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,303.7203674316406,68296000
76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.31675720214844,170108400,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,305.77984619140625,48473300
77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.48703002929688,140644800,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,304.89984130859375,53029300
77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.09976196289062,121532000,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,306.9967041015625,47086800
79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,76.05866241455078,161954400,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,306.5286560058594,62832800
77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.73271942138672,121923600,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,307.221435546875,72056600
78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.68136596679688,108829200,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,309.77703857421875,54050300
79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.53031158447266,137816400,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,310.74114990234375,95846000
79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.0049057006836,110843200,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,310.1326599121094,77742400
79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.27977752685547,101832400,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,310.170166015625,48914900
79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,77.6519546508789,104472000,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,310.52587890625,51963000
80.0625,80.8324966430664,79.37999725341797,79.57749938964844,77.42816925048828,146537600,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,307.7643127441406,87578400
77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.15135192871094,161940000,323.0299987792969,325.1199951171875,322.6600036621094,323.5,302.8311462402344,84062500
