,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-02,74.8511090906067,65.79039575630533,82.89043755417327,74.8511090906067,74.8511090906067,-0.3444418237004195,-0.3444418237004195,-0.3444418237004195,-0.04858554653262324,-0.04858554653262324,-0.04858554653262324,-0.2958562771677962,-0.2958562771677962,-0.2958562771677962,0.0,0.0,0.0,74.50666726690628
1,2020-01-03,74.83230264557965,65.29600980942351,83.14813622328128,74.83230264557965,74.83230264557965,-0.6251304176718598,-0.6251304176718598,-0.6251304176718598,-0.11885928618548773,-0.11885928618548773,-0.11885928618548773,-0.5062711314863722,-0.5062711314863722,-0.5062711314863722,0.0,0.0,0.0,74.20717222790779
2,2020-01-06,74.77588331049849,64.88374948606925,82.75199213849976,74.77588331049849,74.77588331049849,-0.9433679119256863,-0.9433679119256863,-0.9433679119256863,0.18465937812671196,0.18465937812671196,0.18465937812671196,-1.1280272900523982,-1.1280272900523982,-1.1280272900523982,0.0,0.0,0.0,73.8325153985728
3,2020-01-07,74.75707686547142,64.17719027716163,81.5396299249034,74.75707686547142,74.75707686547142,-1.2716893325413219,-1.2716893325413219,-1.2716893325413219,0.04745281064856764,0.04745281064856764,0.04745281064856764,-1.3191421431898895,-1.3191421431898895,-1.3191421431898895,0.0,0.0,0.0,73.48538753293009
4,2020-01-08,74.73827042044437,64.5781832576895,82.26881711248123,74.73827042044437,74.73827042044437,-1.358491193045955,-1.358491193045955,-1.358491193045955,0.136793598153572,0.136793598153572,0.136793598153572,-1.4952847911995268,-1.4952847911995268,-1.4952847911995268,0.0,0.0,0.0,73.37977922739842
5,2020-01-09,74.71946397541731,63.69170438535561,82.46688227222165,74.71946397541731,74.71946397541731,-1.7008313898174499,-1.7008313898174499,-1.7008313898174499,-0.048585546532567865,-0.048585546532567865,-0.048585546532567865,-1.652245843284882,-1.652245843284882,-1.652245843284882,0.0,0.0,0.0,73.01863258559986
6,2020-01-10,74.70065753039026,63.42191809149881,81.58571530258489,74.70065753039026,74.70065753039026,-1.904763332516717,-1.904763332516717,-1.904763332516717,-0.11885928618473643,-0.11885928618473643,-0.11885928618473643,-1.7859040463319806,-1.7859040463319806,-1.7859040463319806,0.0,0.0,0.0,72.79589419787354
7,2020-01-13,74.6442381953091,64.29725210618214,81.76477186497773,74.6442381953091,74.6442381953091,-1.8245942949646554,-1.8245942949646554,-1.8245942949646554,0.18465937812669325,0.18465937812669325,0.18465937812669325,-2.0092536730913486,-2.0092536730913486,-2.0092536730913486,0.0,0.0,0.0,72.81964390034445
8,2020-01-14,74.62543175028205,63.75300930500617,82.04741652681808,74.62543175028205,74.62543175028205,-1.966257367355667,-1.966257367355667,-1.966257367355667,0.047452810648420704,0.047452810648420704,0.047452810648420704,-2.0137101780040876,-2.0137101780040876,-2.0137101780040876,0.0,0.0,0.0,72.65917438292638
9,2020-01-15,74.606625305255,64.56280213572329,82.41006108426615,74.606625305255,74.606625305255,-1.8422137014190267,-1.8422137014190267,-1.8422137014190267,0.13679359815373027,0.13679359815373027,0.13679359815373027,-1.9790072995727572,-1.9790072995727572,-1.9790072995727572,0.0,0.0,0.0,72.76441160383597
